review_id,event_id,text,sentiment
15e7ff02-0c5d-4d32-8dcc-930771c4ef4e,EVT001,The keynote speakers were inspiring and the tech demos blew my mind. This conference exceeded all expectations.,positive
287e36b3-5f4d-4c64-a6b1-87b4decaae74,EVT001,Network connectivity issues and overcrowded sessions made it impossible to follow presentations. Very disappointing experience.,negative
849814e8-97b2-468e-ab16-cb2a0ce08dbe,EVT002,Landed my dream job through this career fair! The companies present were exactly what I was looking for.,positive
a2a481da-5030-458f-b770-e437401f7ee5,EVT003,The alumni seemed disinterested and the networking opportunities were limited. Waste of an evening.,negative
31dca3a1-5423-4254-a1db-ec3d30c72fa3,EVT004,The orientation schedule was confusing and poorly organized. Many students missed important sessions.,negative
ed37969f-e578-432d-83dd-ae50d0f8dd13,EVT005,Groundbreaking research presentations and excellent networking opportunities with field experts. Absolutely worth attending.,positive
fa9da195-17d5-44d9-a5e0-96964d9575e8,EVT001,The conference venue was too small and the sessions were repetitive. Not worth the registration fee.,negative
830893bd-c080-4e62-b634-6da122f55044,EVT002,The recruiters were helpful and provided valuable feedback on my resume. Great experience overall.,positive
f1010f96-5cd1-4cd4-a08a-30c3a0840182,EVT003,Met some amazing industry leaders who offered great career advice. The networking atmosphere was perfect.,positive
da32d1f8-64b6-404e-af4f-23a242c4f32d,EVT004,Clear instructions and friendly student guides made the orientation process smooth and enjoyable.,positive
4072ec97-8514-474b-8c06-bfaf71dd0932,EVT005,The research presentations were too technical and lacked practical applications. Expected more engaging content.,negative
5e1a4453-d175-4c58-8414-12cb6a344b2d,EVT001,Cutting-edge technology discussions and great networking opportunities. Can't wait for next year's conference.,positive
23873b63-7c65-4991-aa82-2fccda8cca65,EVT002,Limited company representation and long queues made the career fair ineffective. Poor time management.,negative
3451e0a2-a97b-4a1b-8faf-26dc15de9b86,EVT003,The alumni shared invaluable industry insights and offered mentorship opportunities. Exceptional networking event.,positive
da71628f-79dd-4402-b8fc-5931b70b342b,EVT004,Information overload and poor scheduling created confusion among new students. Needs better planning.,negative
322769d8-5333-4dce-a475-9739168ebfe4,EVT005,Diverse research topics and engaging discussions made the symposium highly informative and enjoyable.,positive
8397c728-2609-4f5c-afcb-f892853757c1,EVT001,Poor audio quality and technical glitches ruined the presentation experience. Not professionally managed.,negative
356e0709-5ed6-4f71-8b98-765a3bb60b99,EVT002,Well-organized event with diverse job opportunities. The mock interviews were particularly helpful.,positive
0da8ae5a-06ec-448d-8c8c-0851f5973136,EVT003,The venue was too noisy for meaningful conversations. Difficult to network effectively.,negative
4f9aa27b-a7fd-4abe-b375-4aa287711a63,EVT004,The campus tour and resource introduction were well-planned. Perfect start to university life.,positive
7afcf321-d43b-49a3-b51d-d2ce2367eaf5,EVT005,Innovative research presentations and excellent Q&A sessions. Learned so much from the experience.,positive
3cc3cec4-0ed6-475d-b25c-2b25b5a9df6e,EVT001,Interactive workshops and hands-on tech demonstrations made the conference highly engaging.,positive
e1add9b3-9e2e-4a66-a643-e2b23a3af24d,EVT002,Many companies were only collecting resumes without meaningful interactions. Felt impersonal.,negative
eedbe9d2-7c58-49e9-8b5f-849ee050e773,EVT003,Professional atmosphere and valuable connections made. The alumni were genuinely interested in helping.,positive
1de0f4d6-b5a6-4af1-b3b5-14eafd91ff8d,EVT004,Lack of proper signage and coordination led to chaos during the orientation sessions.,negative
5a1ffdde-835d-4d8b-b10a-d44fa16190af,EVT005,The research presentations sparked interesting collaborations. Outstanding academic environment.,positive
b74da5cf-17a8-42ca-864e-6e2037be1b99,EVT001,The conference app crashed frequently and session scheduling was chaotic. Poor technical execution.,negative
34b0cddf-376e-4d80-8abe-6175b1f46b46,EVT002,Found multiple internship opportunities and made great industry connections. Exceeded expectations.,positive
05b9bf2b-92aa-4234-90b2-e52d922159c4,EVT003,The event ended too early and felt rushed. Not enough time for meaningful networking.,negative
affb5c94-19ab-41f0-985e-249997cbaa13,EVT004,Well-structured orientation program with helpful senior student mentors. Made transition easier.,positive
2b795a23-780a-469c-b0db-7b57021fcc95,EVT005,Some presenters were unprepared and the research topics lacked depth. Expected higher quality.,negative
440774ee-f297-434c-9c10-58e4ccf20621,EVT001,Excellent mix of technical content and industry trends. The networking sessions were valuable.,positive
5de9abda-e2af-4708-9a9b-ab94300b65f6,EVT002,Unprofessional recruiters and disorganized company booths made job hunting difficult.,negative
aafc9312-b61f-4bb0-93f5-3f1537a92cfe,EVT003,The alumni panel discussions provided great career insights. Very informative evening.,positive
28750a3f-e55b-4496-bd39-6ff5eb818d3a,EVT004,The orientation activities were engaging and helped build connections with fellow students.,positive
3a70f682-2c00-4ef6-a3fe-c6064c2982a5,EVT005,Fascinating research presentations and great opportunities for academic collaboration.,positive
7606dbb9-1e6c-4dd1-b7c6-132793c07754,EVT001,Outdated content and repetitive sessions made the conference boring. Not worth attending.,negative
7f9b2266-ac4c-4fa9-a9f0-45ad63130aa4,EVT002,The career workshops and resume reviews were incredibly helpful. Great preparation for job hunting.,positive
e65347e8-faa9-4a00-9260-af798df53c01,EVT003,Poor venue acoustics made networking conversations difficult. Needed better planning.,negative
e209bba8-5f36-48a6-b370-9aeb7da59adf,EVT004,Too many concurrent activities created confusion and stress among new students.,negative
e1512159-f228-4c66-b45b-937439bf417a,EVT005,The research demonstrations were innovative and thought-provoking. Excellent learning experience.,positive
1a9d53cf-2913-491e-94df-1ebcdcd481d1,EVT001,The virtual reality demos and AI workshops were fascinating. Cutting-edge technology showcase.,positive
669fa11e-4284-4492-9226-b856eaae09bb,EVT002,Most companies weren't actually hiring. Felt like a waste of time and effort.,negative
ade5c935-b3a3-402f-9b65-88458888b301,EVT003,Met amazing mentors and learned about hidden job opportunities. Perfect networking platform.,positive
3ae05654-b6e6-43c6-904a-627cda0241cd,EVT004,The orientation schedule was well-balanced between information and social activities.,positive
2c95552a-7498-4931-8684-b1a6bdd7d205,EVT005,Interdisciplinary research presentations opened new perspectives. Intellectually stimulating experience.,positive
