complaint_id,complaint_text,date,time
9276eb56-c48b-4f17-a6d8-6976e1d52bcb,Water pressure in Block C showers has been extremely low for the past week.,2024-01-15,08:23:15
1e2ac7d0-2401-4538-a494-d06cf913dacc,Cafeteria food prices increased by 30% without any prior notice.,2024-01-15,09:45:22
e08769fb-2ca6-40dd-a9a5-fae04ad26a0d,Room heating system in dormitory B hasn't worked for three days.,2024-01-15,12:30:45
e7b86638-f088-4569-9c99-3d2dcdc9552e,No hot water in East Wing bathrooms since yesterday morning.,2024-01-15,14:20:18
25b4ef17-ff3b-4b14-85b9-a72e4de8bf14,Wifi connection keeps dropping during online classes.,2024-01-15,16:55:33
b87f7b18-3da2-4156-9f78-8862b4ed2b39,Study room lights in library second floor need replacement.,2024-01-15,18:10:42
fac2975a-6431-47d7-8913-af85c497167e,Laundry machine on floor 3 has been out of order for two weeks.,2024-01-15,19:25:11
554348bb-2e48-41d6-a5b7-c3de1c8ad1f4,Air conditioning in lecture hall 105 is too cold.,2024-01-16,08:15:27
65d1d6ee-d84b-46a3-9e95-878323de6a38,Elevator in Building D has been broken since Monday.,2024-01-16,09:30:44
1f1116fe-2b11-413b-a3a7-8ed5272effde,Vending machine in science block taking money without dispensing drinks.,2024-01-16,10:45:19
df3a52af-3c9f-4154-8cdc-187b18661922,Need more vegetarian options in the cafeteria menu.,2024-01-16,11:50:23
07770178-2604-4fc0-ad0b-9549365bfa65,Library closing too early during exam week.,2024-01-16,13:25:37
5f2b39fb-5782-433b-b54d-17d85b4519f2,Water fountain near gym dispenses warm water.,2024-01-16,14:40:51
a216b13b-a6c2-4e22-9b1d-360051a9f70c,Bathroom sink in Block A leaking continuously.,2024-01-16,15:55:14
07c36db7-5b90-415f-9877-57fc86b358ec,Common room furniture needs urgent replacement.,2024-01-16,16:30:28
ffa8cfdb-9282-4cd6-ac4b-49852d4a26b7,Print station in library constantly running out of paper.,2024-01-16,17:45:33
4f149177-c03f-4f43-a455-dc462f9ca86c,Campus shuttle bus running behind schedule every morning.,2024-01-16,18:20:47
1490d50e-2abc-4326-9f27-43ff60dc09e4,Gym equipment maintenance required - treadmill making weird noises.,2024-01-16,19:35:52
d7a726ff-02f1-4082-818d-3285a7921584,Need more power outlets in study areas.,2024-01-17,08:10:16
61490d63-462b-47d3-9974-38a1899b58e8,Food serving portions have become smaller but prices remain high.,2024-01-17,09:25:31
04de90b6-b777-49ac-9219-7b4af52232fa,Dormitory internet speed extremely slow during peak hours.,2024-01-17,10:40:45
133c7054-dbf0-4628-9d1e-ac0564033eb6,Water dispenser in science building not working properly.,2024-01-17,11:55:59
8cd01650-fc98-47cb-9283-61ab21ca050d,Study room booking system keeps crashing.,2024-01-17,13:10:14
ddfe7059-2953-4db7-8dc9-7872857f779c,Campus cafe closes too early on weekends.,2024-01-17,14:25:28
c3c39e91-06df-42a3-abb8-9a8307109380,Need more bicycle parking spaces near lecture halls.,2024-01-17,15:40:43
5788017f-e28c-424b-ad36-26e9870ec4fa,Bathroom cleaning schedule needs improvement.,2024-01-17,16:55:57
df6efb44-a685-40c9-9bda-00323fa467d8,Library computers running very slowly.,2024-01-17,18:11:12
1df51422-a33a-40d5-ae22-75add248c0c1,Security lights near parking lot B not working.,2024-01-17,19:26:26
dcea5bc1-32fc-44df-97d4-7f6e3a003af5,Cafeteria running out of food options by lunch rush.,2024-01-16,08:41:41
34aaefb7-1ffe-453a-9b72-b61fcd24eee2,Room temperature control not responding in Block D.,2024-01-18,09:56:55
7e41e33e-11f8-4367-9ecd-882eac7ec1f4,Need more microwaves in common kitchen area.,2024-01-18,11:12:10
